City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
albany,100,US,1612987807,44,28.99,42.6001,-73.9662,1.01
victoria,98,HK,1612987754,88,61.0,22.2855,114.1577,4.68
santa cruz,90,BO,1612987814,83,73.4,-17.8,-63.1667,12.66
mehamn,40,NO,1612988046,63,23.0,71.0357,27.8492,19.57
katherine,75,AU,1612988047,89,78.8,-14.4667,132.2667,4.61
punta arenas,0,CL,1612987984,52,68.0,-53.15,-70.9167,8.05
bonavista,97,CA,1612988047,80,28.0,48.6499,-53.1147,9.22
mende,43,FR,1612988048,100,29.26,44.6667,3.5,6.13
tabuk,1,PH,1612988048,90,68.29,17.4189,121.4443,2.62
vostok,76,RU,1612988048,92,-4.27,46.4856,135.8833,4.56
kawalu,72,ID,1612988048,92,72.07,-7.3817,108.2082,1.43
hambantota,100,LK,1612988048,73,73.45,6.1241,81.1185,15.73
cotui,20,DO,1612988049,78,86.0,19.0527,-70.1494,7.31
rusne,75,LT,1612988050,85,10.0,55.2964,21.3758,2.24
sterling,90,US,1612987798,60,41.0,39.0062,-77.4286,3.44
mataura,100,NZ,1612988052,91,49.37,-46.1927,168.8643,12.41
qaqortoq,20,GL,1612988052,27,33.8,60.7167,-46.0333,24.16
sarmanovo,0,RU,1612988052,77,-5.8,55.2553,52.5891,6.71
puerto ayora,75,EC,1612988053,94,77.0,-0.7393,-90.3518,1.14
kiunga,100,PG,1612988054,98,73.15,-6.1219,141.2906,2.55
mount isa,0,AU,1612988054,78,78.8,-20.7333,139.5,5.75
ushuaia,0,AR,1612987891,27,77.0,-54.8,-68.3,20.71
rikitea,44,PF,1612988054,73,79.12,-23.1203,-134.9692,12.24
new norfolk,0,AU,1612988055,70,53.01,-42.7826,147.0587,2.66
qrendi,0,MT,1612988056,63,64.0,35.8347,14.4583,13.8
alofi,75,NU,1612988057,89,82.4,-19.0595,-169.9187,5.75
hermanus,11,ZA,1612988005,80,70.0,-34.4187,19.2345,3.0
kashi,95,CN,1612988058,27,50.0,39.4547,75.9797,13.42
havre-saint-pierre,1,CA,1612988058,48,12.2,50.2334,-63.5986,16.11
busselton,5,AU,1612988059,98,55.0,-33.65,115.3333,7.83
hobart,0,AU,1612987809,71,55.4,-42.8794,147.3294,6.91
caravelas,49,BR,1612988059,68,80.24,-17.7125,-39.2481,7.56
cidreira,68,BR,1612988060,77,76.66,-30.1811,-50.2056,14.25
trincomalee,100,LK,1612988060,68,75.88,8.5711,81.2335,11.56
atuona,1,PF,1612988060,77,79.0,-9.8,-139.0333,18.63
bambanglipuro,63,ID,1612988060,86,76.48,-7.95,110.2833,3.31
thompson,75,CA,1612988061,69,-20.2,55.7435,-97.8558,6.91
tuktoyaktuk,20,CA,1612988062,68,-29.2,69.4541,-133.0374,8.05
dikson,82,RU,1612988063,89,-20.96,73.5069,80.5464,8.52
bluff,100,NZ,1612988064,89,53.06,-46.6,168.3333,35.14
arraial do cabo,40,BR,1612987797,73,82.4,-22.9661,-42.0278,9.22
avarua,20,CK,1612988064,74,84.2,-21.2078,-159.775,10.36
cascais,56,PT,1612988064,95,59.0,38.6979,-9.4215,9.78
lagoa,90,PT,1612988065,66,57.92,39.05,-27.9833,33.73
kamaishi,10,JP,1612988065,90,31.75,39.2667,141.8833,9.48
port alfred,10,ZA,1612988065,94,73.0,-33.5906,26.891,9.57
jacqueville,0,CI,1612988066,89,82.4,5.2052,-4.4146,8.05
butaritari,79,KI,1612988066,76,81.5,3.0707,172.7902,16.49
krasnaya gora,90,RU,1612988066,85,12.2,52.9995,31.6023,6.71
vaini,75,TO,1612988067,89,78.8,-21.2,-175.2,9.22
seymchan,75,RU,1612988067,87,-9.92,62.8833,152.4333,4.23
aykhal,75,RU,1612988067,85,-22.92,66.0,111.5,5.5
moindou,75,NC,1612988067,100,69.8,-21.6924,165.677,3.44
sorland,40,NO,1612988067,86,19.4,67.667,12.6934,3.44
esperance,90,AU,1612988068,77,57.2,-33.8667,121.9,6.91
eyemouth,25,GB,1612988068,91,24.01,55.8713,-2.0901,9.93
tura,0,IN,1612988069,42,61.32,25.5198,90.2201,2.62
clyde river,0,CA,1612988069,92,6.8,70.4692,-68.5914,43.73
mahebourg,40,MU,1612987812,83,78.8,-20.4081,57.7,13.8
teguise,20,ES,1612988069,77,64.4,29.0605,-13.564,5.75
qaanaaq,94,GL,1612988069,71,2.82,77.484,-69.3632,11.86
korla,100,CN,1612988069,75,34.11,41.7597,86.1469,8.48
kruisfontein,34,ZA,1612988070,87,73.0,-34.0033,24.7314,1.01
airai,100,TL,1612988070,100,61.02,-8.9266,125.4092,1.48
nome,1,US,1612988070,53,-13.0,64.5011,-165.4064,10.36
bredasdorp,64,ZA,1612988070,77,68.0,-34.5322,20.0403,6.91
provideniya,0,RU,1612987933,70,-11.2,64.3833,-173.3,15.66
manggar,100,ID,1612988071,88,78.51,-2.8833,108.2667,8.9
baykit,100,RU,1612988071,85,-11.58,61.67,96.37,2.93
ginda,0,IN,1612988071,39,44.29,30.6945,78.4932,7.18
princeton,75,US,1612988071,65,82.99,25.5384,-80.4089,10.36
saskylakh,0,RU,1612988072,84,-21.06,71.9167,114.0833,9.66
torbay,75,CA,1612988074,80,27.0,47.6666,-52.7314,17.27
bastia,0,FR,1612988074,43,57.0,42.6667,9.3333,9.22
saint anthony,1,US,1612988074,47,8.6,45.0205,-93.218,14.97
puerto maldonado,90,PE,1612988074,100,71.6,-12.6,-69.1833,9.22
entre rios,18,BR,1612988074,64,82.31,-11.9419,-38.0844,10.87
codrington,95,AU,1612988075,64,65.43,-38.2667,141.9667,7.0
cardston,100,CA,1612987859,58,-11.2,49.2,-113.3019,2.3
castro,23,BR,1612988075,81,69.91,-24.7911,-50.0119,5.21
salalah,0,OM,1612988076,27,77.0,17.0151,54.0924,6.91
kainantu,47,PG,1612988077,92,58.73,-6.2887,145.8655,4.14
goderich,100,CA,1612988077,62,17.6,43.7501,-81.7165,8.05
te anau,100,NZ,1612988077,86,49.86,-45.4167,167.7167,7.18
ancona,75,IT,1612988079,81,51.01,43.55,13.1667,3.44
payson,75,US,1612988079,53,46.99,40.0444,-111.7321,3.44
ribeira grande,40,PT,1612988079,63,60.8,38.5167,-28.7,28.77
deniliquin,0,AU,1612988079,55,70.0,-35.5333,144.9667,6.89
ikwiriri,100,TZ,1612988080,92,75.18,-7.9562,38.9716,1.83
nikolskoye,40,RU,1612988080,85,8.01,59.7035,30.7861,4.47
tulsipur,0,NP,1612988080,59,54.72,28.131,82.2973,4.72
karratha,0,AU,1612988081,49,85.19,-20.7377,116.8463,13.94
bambous virieux,75,MU,1612988081,78,78.8,-20.3428,57.7575,11.5
samarai,100,PG,1612988081,78,81.54,-10.6167,150.6667,8.81
tasiilaq,75,GL,1612988081,52,10.4,65.6145,-37.6368,4.61
tigil,78,RU,1612988081,92,17.91,57.8,158.6667,7.14
trapani,40,IT,1612987937,94,59.0,37.8333,12.6667,13.8
whitianga,94,NZ,1612988082,84,63.0,-36.8333,175.7,3.0
portland,75,US,1612987791,61,44.01,45.5234,-122.6762,3.44
port moresby,40,PG,1612988082,94,75.2,-9.4431,147.1797,5.75
kuching,20,MY,1612987986,94,77.0,1.55,110.3333,3.44
cape town,0,ZA,1612987923,73,71.6,-33.9258,18.4232,16.11
asau,90,RO,1612988084,69,37.0,46.4333,26.4,1.25
vaitape,0,PF,1612988084,70,81.25,-16.5167,-151.75,11.48
cuiluan,43,CN,1612988084,92,3.04,47.72,128.648,2.46
chokurdakh,89,RU,1612988085,89,-11.78,70.6333,147.9167,9.57
gold coast,75,AU,1612987810,88,66.99,-28.0,153.4333,8.05
sedhiou,0,SN,1612988085,33,91.4,12.7081,-15.5569,2.51
zhoucheng,0,CN,1612988086,68,41.49,35.9122,116.3117,6.17
trofors,0,NO,1612988086,84,-4.0,65.5333,13.4063,3.44
kutum,0,SD,1612988087,29,62.69,14.2,24.6667,8.57
christchurch,0,NZ,1612987806,34,64.99,-43.5333,172.6333,9.22
skelleftea,0,SE,1612988087,84,3.0,64.7507,20.9528,6.91
brae,20,GB,1612988088,80,32.0,60.3964,-1.353,8.05
kahului,40,US,1612988064,60,75.2,20.8947,-156.47,17.27
jamestown,75,US,1612988088,58,24.01,42.097,-79.2353,4.61
nelson bay,20,AU,1612988089,100,63.0,-32.7167,152.15,1.14
lashio,0,MM,1612988090,78,50.49,22.9333,97.75,1.68
kodiak,90,US,1612988090,75,37.4,57.79,-152.4072,20.71
hualmay,72,PE,1612988091,60,77.31,-11.0964,-77.6139,8.19
